Station	Parameter	Date	Value
Lahontan	Reservoir Depth	2006/8/31	24.1
Lahontan	Reservoir Depth	2006/9/30	25.4
Lahontan	Reservoir Depth	2006/10/31	25.2
Lahontan	Reservoir Depth	2006/11/30	25.1
Lahontan	Reservoir Depth	2006/12/31	25.2
Lahontan	Reservoir Depth	2007/1/31	25.3
Lahontan	Reservoir Depth	2007/2/28	25.3
Lahontan	Reservoir Depth	2007/3/31	24.9
Lahontan	Reservoir Depth	2007/4/30	24.4
Lahontan	Reservoir Depth	2007/5/31	24.5
Lahontan	Reservoir Depth	2007/6/30	25.3
Lahontan	Reservoir Depth	2007/7/31	25.2
Lahontan	Reservoir Depth	2007/8/31	22.5
Lahontan	Reservoir Depth	2007/9/30	19.7
Lahontan	Reservoir Depth	2007/10/31	19.5
Lahontan	Reservoir Depth	2007/11/30	19.6
Lahontan	Reservoir Depth	2007/12/31	19.7
Lahontan	Reservoir Depth	2008/1/31	21
Lahontan	Reservoir Depth	2008/2/29	21.8
Lahontan	Reservoir Depth	2008/3/31	22.6
Lahontan	Reservoir Depth	2008/4/30	22.8
Lahontan	Reservoir Depth	2008/5/31	21.9
Lahontan	Reservoir Depth	2008/6/30	23.1
Lahontan	Reservoir Depth	2008/7/31	20.4
Lahontan	Reservoir Depth	2008/8/31	18.5
Lahontan	Reservoir Depth	2008/9/30	14.2
Lahontan	Reservoir Depth	2008/10/31	11.3
Lahontan	Reservoir Depth	2008/11/30	13.4
Lahontan	Reservoir Depth	2008/12/31	16.9
Lahontan	Reservoir Depth	2009/1/31	18.3
Lahontan	Reservoir Depth	2009/2/28	19.5
Lahontan	Reservoir Depth	2009/3/31	20.3
Lahontan	Reservoir Depth	2009/4/30	21.8
Lahontan	Reservoir Depth	2009/5/31	23.6
Lahontan	Reservoir Depth	2009/6/30	25.2
Lahontan	Reservoir Depth	2009/7/31	24.1
Lahontan	Reservoir Depth	2009/8/31	20.3
Lahontan	Reservoir Depth	2009/9/30	18.5
Lahontan	Reservoir Depth	2009/10/31	16.2
Lahontan	Reservoir Depth	2009/11/30	11.2
Lahontan	Reservoir Depth	2009/12/31	14.3
